ID,Gender,Year,Class,Textbook_amount,Resources,Expense,Rank
2018/11/05 10:42:31 ä¸ GMT-5,Female,2019,5,2,Campus bookstore,Over 200$,4
2018/11/05 10:44:26 ä¸ GMT-5,Female,2022,6,1,Buying from others,Over 200$,4
2018/11/05 10:48:57 ä¸ GMT-5,Female,2022,6,1,Campus bookstore;Buying from others,Over 200$,4
2018/11/05 10:50:21 ä¸ GMT-5,Female,2022,5,5,Campus bookstore;Online bookstore (amazon.com etc.),Over 200$,5
2018/11/05 10:52:15 ä¸ GMT-5,Male,2022,6,4,Campus bookstore;Free PDF files if available,Over 200$,5
2018/11/05 10:55:03 ä¸ GMT-5,Female,2020,6,3,Campus bookstore,Over 200$,5
2018/11/05 10:57:55 ä¸ GMT-5,Male,2019,6,2,Free PDF files if available,Less than 50$,1
2018/11/05 10:58:08 ä¸ GMT-5,Male,2022,5,3,Campus bookstore;Online bookstore (amazon.com etc.),Over 200$,2
2018/11/05 10:58:20 ä¸ GMT-5,Female,2022,6,4,Online bookstore (amazon.com etc.),Over 200$,3
2018/11/05 10:58:26 ä¸ GMT-5,Female,2020,6,3,Online bookstore (amazon.com etc.);Free PDF files if available,50$-100$,2
2018/11/05 10:58:51 ä¸ GMT-5,Male,2019,3,1,Buying from others,50$-100$,2
2018/11/05 10:58:55 ä¸ GMT-5,Male,2022,6,3,Campus bookstore;Free PDF files if available;Buying from others;Given by others,50$-100$,4
2018/11/05 10:58:58 ä¸ GMT-5,Male,2022,6,4,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available,Over 200$,4
2018/11/05 10:59:55 ä¸ GMT-5,Male,2020,5,4,Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,4
2018/11/05 11:00:10 ä¸ GMT-5,Male,2022,5,3,Free PDF files if available;Given by others,Less than 50$,1
2018/11/05 11:00:46 ä¸ GMT-5,Female,2020,6,3,Free PDF files if available,50$-100$,3
2018/11/05 11:00:48 ä¸ GMT-5,Male,2021,6,4,Campus bookstore;Free PDF files if available,50$-100$,4
2018/11/05 11:01:06 ä¸ GMT-5,Male,2019,4,3,Campus bookstore;Free PDF files if available,100$-200$,4
2018/11/05 11:03:24 ä¸ GMT-5,Female,2020,5,6,Online bookstore (amazon.com etc.);Free PDF files if available;Given by others,Less than 50$,1
2018/11/05 11:06:51 ä¸ GMT-5,Male,2020,5,5,Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,4
2018/11/05 11:06:58 ä¸ GMT-5,Female,2020,5,3,Free PDF files if available,Less than 50$,1
2018/11/05 11:07:05 ä¸ GMT-5,Female,2021,6,7,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available,Over 200$,4
2018/11/05 11:07:21 ä¸ GMT-5,Female,2021,5,4,Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,2
2018/11/05 11:08:01 ä¸ GMT-5,Male,2022,5,7,Campus bookstore,Over 200$,5
2018/11/05 11:08:06 ä¸ GMT-5,Male,2019,6,3,Online bookstore (amazon.com etc.);Free PDF files if available;Given by others,Less than 50$,1
2018/11/05 11:09:28 ä¸ GMT-5,Male,2021,7,3,Campus bookstore;Free PDF files if available,50$-100$,3
2018/11/05 11:10:20 ä¸ GMT-5,Male,2019,5,4,Free PDF files if available;Not buying any,Less than 50$,1
2018/11/05 11:10:36 ä¸ GMT-5,Female,2019,5,1,Campus bookstore;Free PDF files if available;Given by others,50$-100$,1
2018/11/05 11:11:08 ä¸ GMT-5,Female,2019,5,0,Online bookstore (amazon.com etc.);Free PDF files if available;Buying from others,Less than 50$,2
2018/11/05 11:15:39 ä¸ GMT-5,Male,2021,7,5,Online bookstore (amazon.com etc.);Free PDF files if available,Less than 50$,2
2018/11/05 11:15:42 ä¸ GMT-5,Male,2019,6,5,Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,3
2018/11/05 11:19:13 ä¸ GMT-5,Female,2021,5,6,Campus bookstore,Over 200$,5
2018/11/05 11:19:36 ä¸ GMT-5,Female,2020,6,3,Online bookstore (amazon.com etc.);Buying from others;Given by others,100$-200$,2
2018/11/05 11:19:37 ä¸ GMT-5,Female,2019,4,6,Online bookstore (amazon.com etc.);Free PDF files if available;Given by others,100$-200$,5
2018/11/05 11:20:48 ä¸ GMT-5,Female,2020,7,0,Free PDF files if available;Buying from others;Given by others,Less than 50$,1
2018/11/05 11:23:36 ä¸ GMT-5,Female,2021,7,5,Campus bookstore;Free PDF files if available,Less than 50$,2
2018/11/05 11:23:51 ä¸ GMT-5,Male,2021,5,4,Free PDF files if available,50$-100$,2
2018/11/05 11:25:27 ä¸ GMT-5,Male,2018,6,2,Free PDF files if available,Less than 50$,1
2018/11/05 11:25:45 ä¸ GMT-5,Female,2021,5,3,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,4
2018/11/05 11:25:46 ä¸ GMT-5,Female,2021,6,4,Campus bookstore;Free PDF files if available,100$-200$,5
2018/11/05 11:26:25 ä¸ GMT-5,Male,2020,4,2,Free PDF files if available,100$-200$,2
2018/11/05 11:28:18 ä¸ GMT-5,Female,2019,4,2,Online bookstore (amazon.com etc.);Free PDF files if available,50$-100$,2
2018/11/05 11:52:59 ä¸ GMT-5,Male,2019,6,6,Online bookstore (amazon.com etc.);Free PDF files if available,Less than 50$,3
2018/11/05 12:00:54 ä¸ GMT-5,Female,2019,5,0,Online bookstore (amazon.com etc.);Free PDF files if available,Less than 50$,3
2018/11/05 12:07:06 ä¸ GMT-5,Male,2020,5,0,Online bookstore (amazon.com etc.),50$-100$,3
2018/11/05 12:11:00 ä¸ GMT-5,Male,2019,4,4,Free PDF files if available,Less than 50$,1
2018/11/05 12:13:38 ä¸ GMT-5,Male,2019,5,3,Campus bookstore;Free PDF files if available,Over 200$,5
2018/11/05 12:15:20 ä¸ GMT-5,Male,2020,5,4,Free PDF files if available,Less than 50$,1
2018/11/05 12:20:55 ä¸ GMT-5,Male,2021,4,3,Free PDF files if available,100$-200$,4
2018/11/05 12:22:57 ä¸ GMT-5,Female,2019,6,7,Free PDF files if available,Less than 50$,1
2018/11/05 12:27:21 ä¸ GMT-5,Female,2019,5,2,Free PDF files if available;Buying from others;Given by others,50$-100$,4
2018/11/05 12:38:52 ä¸ GMT-5,Female,2021,4,3,Free PDF files if available,Less than 50$,1
2018/11/05 12:44:57 ä¸ GMT-5,Male,2021,5,7,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available;Buying from others;Given by others,Over 200$,5
2018/11/05 12:45:56 ä¸ GMT-5,Male,2019,5,3,Campus bookstore;Online bookstore (amazon.com etc.),100$-200$,4
2018/11/05 12:51:00 ä¸ GMT-5,Female,2022,5,4,Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,3
2018/11/05 12:54:41 ä¸ GMT-5,Female,2020,6,4,Free PDF files if available,Less than 50$,1
2018/11/05 1:19:09 ä¸ GMT-5,Male,2022,7,3,Campus bookstore,50$-100$,5
2018/11/05 1:25:07 ä¸ GMT-5,Female,2019,4,1,Campus bookstore,50$-100$,2
2018/11/05 1:55:12 ä¸ GMT-5,Female,2021,5,4,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,4
2018/11/05 1:55:57 ä¸ GMT-5,Female,2020,7,5,Free PDF files if available;Given by others,100$-200$,3
2018/11/05 2:19:48 ä¸ GMT-5,Male,2019,5,2,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available,50$-100$,3
2018/11/05 2:36:45 ä¸ GMT-5,Female,2020,5,3,Campus bookstore;Free PDF files if available,100$-200$,5
2018/11/05 2:52:31 ä¸ GMT-5,Female,2019,5,4,Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available,100$-200$,3
2018/11/05 3:31:17 ä¸ GMT-5,Male,2021,3,1,Campus bookstore,Over 200$,4